disease,scenario,replication,cumulative_attack_rate,peak_incidence,peak_timing,epidemic_duration,hospital_days,total_infections,R_eff_final
influenza,baseline,30,0.9986,4339.834959021076,13.0,55.0,910.2806647788066,9986.0,0.00238
influenza,baseline,31,0.9987,4431.793540876087,14.0,58.0,935.6429700758096,9987.0,0.0022099999999999997
influenza,baseline,32,0.9986,4343.574513477493,13.0,54.0,916.8479664163149,9986.0,0.00238
influenza,baseline,33,0.9986,4340.2749224968165,13.0,55.0,911.9446747391964,9986.0,0.00238
influenza,baseline,34,0.9987,4358.519163401555,13.0,54.0,920.0714864334072,9987.0,0.0022099999999999997
influenza,baseline,35,0.9987,4256.101381600172,13.0,55.0,895.6800290338497,9987.0,0.0022099999999999997
influenza,baseline,36,0.9986,4343.132317493021,13.0,57.0,915.2610316135062,9986.0,0.00238
influenza,baseline,37,0.9986,4312.761201681923,13.0,57.0,904.5792245952824,9986.0,0.00238
influenza,baseline,38,0.9987,4358.049598230748,13.0,58.0,912.5669241258453,9987.0,0.0022099999999999997
influenza,baseline,39,0.9986,4350.0973104489785,13.0,56.0,911.9400888127551,9986.0,0.00238
influenza,baseline,40,0.9988,4372.082811262961,13.0,61.0,918.579865117625,9988.0,0.0020399999999999997
influenza,baseline,41,0.9986,4320.794509545864,13.0,60.0,908.21131477384,9986.0,0.00238
influenza,baseline,42,0.9987,4401.456152914923,13.0,57.0,923.8531470736248,9987.0,0.0022099999999999997
influenza,baseline,43,0.9987,4283.7423302779225,13.0,61.0,897.2994480881349,9987.0,0.0022099999999999997
influenza,baseline,44,0.9987,4356.930288596225,13.0,54.0,914.102301430768,9987.0,0.0022099999999999997
influenza,baseline,45,0.9986,4262.105096737891,13.0,59.0,898.3606242142458,9986.0,0.00238
influenza,baseline,46,0.9987,4409.139233591952,13.0,54.0,925.4595699533952,9987.0,0.0022099999999999997
influenza,baseline,47,0.9987,4414.280067777114,13.0,55.0,926.4538817878548,9987.0,0.0022099999999999997
influenza,baseline,48,0.9987,4373.89954277859,13.0,55.0,919.9688974713184,9987.0,0.0022099999999999997
influenza,baseline,49,0.9986,4372.52444385958,13.0,60.0,925.3763670026724,9986.0,0.00238
influenza,baseline,50,0.9987,4382.377124591248,13.0,58.0,920.4808235664447,9987.0,0.0022099999999999997
influenza,baseline,51,0.9987,4324.807531164512,13.0,56.0,906.0884744463202,9987.0,0.0022099999999999997
influenza,baseline,52,0.9986,4344.744517434206,13.0,57.0,913.8461807582121,9986.0,0.00238
influenza,baseline,53,0.9987,4386.285349441197,13.0,59.0,919.966856039187,9987.0,0.0022099999999999997
influenza,baseline,54,0.9986,4317.308362981424,13.0,53.0,904.968342153598,9986.0,0.00238
influenza,baseline,55,0.9986,4413.554415850022,14.0,58.0,934.079010796815,9986.0,0.00238
influenza,baseline,56,0.9986,4342.37266240639,13.0,56.0,922.2359203554792,9986.0,0.00238
influenza,baseline,57,0.9987,4383.96949145422,13.0,55.0,921.0845054375294,9987.0,0.0022099999999999997
influenza,baseline,58,0.9986,4332.445445613986,13.0,53.0,915.4768461673178,9986.0,0.00238
influenza,baseline,59,0.9986,4315.072271301157,13.0,57.0,906.572207224564,9986.0,0.00238
influenza,baseline,60,0.9987,4233.181209550041,13.0,57.0,891.5300990847084,9987.0,0.0022099999999999997
influenza,baseline,61,0.9986,4347.303948547265,13.0,57.0,913.8735877453468,9986.0,0.00238
influenza,baseline,62,0.9986,4356.753862720009,13.0,56.0,917.6785404234432,9986.0,0.00238
influenza,baseline,63,0.9987,4390.58081637032,13.0,57.0,921.1897278662996,9987.0,0.0022099999999999997
influenza,baseline,64,0.9987,4358.960992524465,13.0,59.0,914.1535186597446,9987.0,0.0022099999999999997
influenza,baseline,65,0.9986,4321.439152075733,13.0,55.0,904.429883806336,9986.0,0.00238
influenza,baseline,66,0.9986,4316.124820942818,13.0,57.0,904.3438912523213,9986.0,0.00238
influenza,baseline,67,0.9987,4366.368392429009,13.0,55.0,919.5771991762513,9987.0,0.0022099999999999997
influenza,baseline,68,0.9986,4319.102070224186,13.0,58.0,906.7323535834294,9986.0,0.00238
influenza,baseline,69,0.9986,4299.361674079772,13.0,57.0,904.9477874042349,9986.0,0.00238
influenza,baseline,70,0.9986,4408.0212088585895,14.0,55.0,931.6917996057779,9986.0,0.00238
influenza,baseline,71,0.9986,4329.794126273268,13.0,57.0,912.5344203167101,9986.0,0.00238
influenza,baseline,72,0.9987,4402.36915670401,13.0,61.0,922.4318086842679,9987.0,0.0022099999999999997
influenza,baseline,73,0.9987,4319.17134976299,13.0,60.0,908.4357700421755,9987.0,0.0022099999999999997
influenza,baseline,74,0.9987,4333.7991888929555,13.0,56.0,913.6041940399448,9987.0,0.0022099999999999997
influenza,baseline,75,0.9987,4309.942682963214,13.0,57.0,905.1473664365461,9987.0,0.0022099999999999997
influenza,baseline,76,0.9986,4427.26156993844,13.0,52.0,934.8688701763068,9986.0,0.00238
influenza,baseline,77,0.9986,4329.277244379026,13.0,57.0,910.1972347664673,9986.0,0.00238
influenza,baseline,78,0.9987,4359.340062549352,13.0,58.0,916.7180476468924,9987.0,0.0022099999999999997
influenza,baseline,79,0.9986,4333.612943575505,13.0,56.0,911.6544701565172,9986.0,0.00238
influenza,baseline,80,0.9987,4435.4137259057425,13.0,54.0,938.0521949942724,9987.0,0.0022099999999999997
influenza,baseline,81,0.9987,4399.4854895850785,13.0,57.0,923.1570821143788,9987.0,0.0022099999999999997
influenza,baseline,82,0.9988,4450.86294753659,13.0,61.0,933.7446655019073,9988.0,0.0020399999999999997
influenza,baseline,83,0.9987,4304.419340416725,13.0,60.0,905.7306244481824,9987.0,0.0022099999999999997
influenza,baseline,84,0.9987,4315.34930353078,13.0,57.0,908.2307527686874,9987.0,0.0022099999999999997
influenza,baseline,85,0.9986,4322.215039918337,13.0,55.0,904.5938593065966,9986.0,0.00238
influenza,baseline,86,0.9987,4395.571112753533,13.0,55.0,918.7834549977213,9987.0,0.0022099999999999997
influenza,baseline,87,0.9986,4338.9740095833085,13.0,56.0,910.8418139968124,9986.0,0.00238
influenza,baseline,88,0.9987,4359.151749794559,13.0,60.0,917.0038234576992,9987.0,0.0022099999999999997
influenza,baseline,89,0.9986,4330.1699898434845,13.0,58.0,910.131487955645,9986.0,0.00238
influenza,baseline,90,0.9987,4254.641258567455,13.0,56.0,895.7196199561955,9987.0,0.0022099999999999997
influenza,baseline,91,0.9986,4364.568848771779,13.0,56.0,918.3223910534166,9986.0,0.00238
influenza,baseline,92,0.9985,4394.82216898876,14.0,62.0,936.8706519682805,9985.0,0.00255
influenza,baseline,93,0.9987,4376.2271311925215,13.0,56.0,919.5774086217315,9987.0,0.0022099999999999997
influenza,baseline,94,0.9987,4387.808435644402,13.0,57.0,919.7116967316915,9987.0,0.0022099999999999997
influenza,baseline,95,0.9988,4334.776321234618,13.0,57.0,910.1886533848053,9988.0,0.0020399999999999997
influenza,baseline,96,0.9986,4317.107819066733,13.0,56.0,910.8901945763209,9986.0,0.00238
influenza,baseline,97,0.9987,4376.547061572686,13.0,57.0,922.5634997400527,9987.0,0.0022099999999999997
influenza,baseline,98,0.9987,4365.900377400442,13.0,61.0,917.3264177528742,9987.0,0.0022099999999999997
influenza,baseline,99,0.9987,4386.571537183541,13.0,57.0,917.1996739553441,9987.0,0.0022099999999999997
influenza,baseline,100,0.9986,4319.133983925853,13.0,55.0,909.1744778175678,9986.0,0.00238
influenza,baseline,101,0.9986,4355.500148849727,13.0,56.0,914.3863309374574,9986.0,0.00238
influenza,baseline,102,0.9987,4240.868917780885,13.0,57.0,895.7174437834766,9987.0,0.0022099999999999997
influenza,baseline,103,0.9986,4322.020357403163,14.0,54.0,914.6426871068871,9986.0,0.00238
influenza,baseline,104,0.9987,4276.713754213972,13.0,60.0,896.4581514801498,9987.0,0.0022099999999999997
influenza,baseline,105,0.9987,4318.890475178446,13.0,54.0,907.8467337387317,9987.0,0.0022099999999999997
influenza,baseline,106,0.9986,4321.125585731375,13.0,59.0,908.3556021897464,9986.0,0.00238
influenza,baseline,107,0.9987,4383.449299970051,13.0,57.0,918.4951144389044,9987.0,0.0022099999999999997
influenza,baseline,108,0.9986,4325.698233966436,13.0,60.0,911.5680339904476,9986.0,0.00238
influenza,baseline,109,0.9987,4331.980682629346,13.0,56.0,907.4675871621461,9987.0,0.0022099999999999997
influenza,baseline,110,0.9987,4404.019705273653,13.0,59.0,925.5711984823716,9987.0,0.0022099999999999997
influenza,baseline,111,0.9987,4292.426013375255,13.0,56.0,904.1227728063797,9987.0,0.0022099999999999997
influenza,baseline,112,0.9987,4284.352231823272,13.0,66.0,900.2597458210336,9987.0,0.0022099999999999997
influenza,baseline,113,0.9986,4362.838534807258,13.0,55.0,915.5910903267179,9986.0,0.00238
influenza,baseline,114,0.9987,4278.287973358583,13.0,58.0,897.8096214962528,9987.0,0.0022099999999999997
influenza,baseline,115,0.9986,4349.295180911846,13.0,61.0,918.0490479558189,9986.0,0.00238
influenza,baseline,116,0.9987,4332.308925658279,13.0,55.0,908.1565180138998,9987.0,0.0022099999999999997
influenza,baseline,117,0.9987,4388.651832909093,13.0,59.0,921.972785751758,9987.0,0.0022099999999999997
influenza,baseline,118,0.9987,4392.773371149872,13.0,62.0,926.2658462706787,9987.0,0.0022099999999999997
influenza,baseline,119,0.9987,4369.984828406784,13.0,59.0,916.5567308669602,9987.0,0.0022099999999999997
influenza,baseline,120,0.9988,4362.855409710588,13.0,56.0,917.2005897428885,9988.0,0.0020399999999999997
influenza,baseline,121,0.9986,4336.450094484004,13.0,53.0,913.2579294591708,9986.0,0.00238
influenza,baseline,122,0.9987,4318.2992084960515,13.0,58.0,906.9416647061939,9987.0,0.0022099999999999997
influenza,baseline,123,0.9987,4338.346784933353,13.0,56.0,909.4788508456103,9987.0,0.0022099999999999997
influenza,baseline,124,0.9986,4318.177796206033,13.0,54.0,904.7208650429706,9986.0,0.00238
influenza,baseline,125,0.9986,4297.6221700046135,13.0,55.0,906.6544902380626,9986.0,0.00238
influenza,baseline,126,0.9987,4306.286420890986,13.0,53.0,908.60709814198,9987.0,0.0022099999999999997
influenza,baseline,127,0.9986,4369.725609934519,13.0,56.0,915.1473680749417,9986.0,0.00238
influenza,baseline,128,0.9987,4418.560344637381,13.0,57.0,931.9307587498864,9987.0,0.0022099999999999997
influenza,baseline,129,0.9986,4431.198839544787,13.0,56.0,936.533350766038,9986.0,0.00238
