disease,scenario,replication,cumulative_attack_rate,peak_incidence,peak_timing,epidemic_duration,hospital_days,total_infections,R_eff_final
ebola,baseline,62,0.0569,39.0,77.0,364.0,3392.64,569.0,1.69632
ebola,baseline,63,0.0087,22.0,22.0,75.0,509.96000000000004,87.0,1.78434
ebola,baseline,64,0.0272,35.0,40.0,163.0,1488.8400000000001,272.0,1.7510400000000002
ebola,baseline,65,0.0584,30.0,169.0,334.0,3228.4800000000005,584.0,1.69488
ebola,baseline,66,0.0143,20.0,40.0,171.0,785.84,143.0,1.7742600000000002
ebola,baseline,67,0.0071,16.0,19.0,87.0,387.6,71.0,1.78722
ebola,baseline,68,0.0795,67.0,105.0,207.0,4596.4800000000005,795.0,1.6569
ebola,baseline,69,0.0509,37.0,151.0,279.0,2935.88,509.0,1.70838
ebola,baseline,70,0.0761,41.0,44.0,330.0,4309.96,761.0,1.6630200000000002
ebola,baseline,71,0.0326,27.0,22.0,217.0,1811.8400000000001,326.0,1.74132
ebola,baseline,72,0.008,18.0,15.0,111.0,442.31999999999994,80.0,1.7856
ebola,baseline,73,0.0057,15.0,19.0,80.0,292.6,57.0,1.78974
ebola,baseline,74,0.0158,23.0,14.0,165.0,938.6000000000001,158.0,1.7715600000000002
ebola,baseline,75,0.0194,19.0,85.0,139.0,1014.6,194.0,1.76508
ebola,baseline,76,0.0105,20.0,22.0,103.0,595.0800000000002,105.0,1.7811
ebola,baseline,77,0.0172,24.0,16.0,178.0,941.6400000000001,172.0,1.7690400000000002
ebola,baseline,78,0.0103,19.0,22.0,106.0,601.9200000000001,103.0,1.7814600000000003
ebola,baseline,79,0.0343,27.0,48.0,211.0,1893.92,343.0,1.7382600000000001
ebola,baseline,80,0.0068,13.0,11.0,131.0,373.92,68.0,1.7877600000000002
ebola,baseline,81,0.0278,24.0,96.0,218.0,1598.2800000000002,278.0,1.7499600000000002
ebola,baseline,82,0.0127,17.0,15.0,114.0,719.72,127.0,1.7771400000000002
ebola,baseline,83,0.0069,15.0,28.0,71.0,386.08000000000004,69.0,1.78758
ebola,baseline,84,0.0109,27.0,29.0,76.0,623.2,109.0,1.7803799999999999
ebola,baseline,85,0.0175,26.0,19.0,118.0,962.9200000000001,175.0,1.7685
ebola,baseline,86,0.0071,19.0,23.0,68.0,411.91999999999996,71.0,1.78722
ebola,baseline,87,0.0127,17.0,19.0,113.0,704.5200000000001,127.0,1.7771400000000002
ebola,baseline,88,0.0427,19.0,272.0,364.0,2399.3199999999997,427.0,1.7220600000000001
ebola,baseline,89,0.0098,18.0,25.0,104.0,562.4000000000001,98.0,1.7823600000000002
ebola,baseline,90,0.0073,19.0,16.0,76.0,398.24,73.0,1.7868600000000001
ebola,baseline,91,0.0074,17.0,31.0,96.0,443.84,74.0,1.7866799999999998
ebola,baseline,92,0.0103,15.0,50.0,146.0,569.24,103.0,1.7814600000000003
ebola,baseline,93,0.0305,29.0,133.0,232.0,1786.7600000000002,305.0,1.7451
ebola,baseline,94,0.0136,19.0,61.0,146.0,729.6000000000001,136.0,1.77552
ebola,baseline,95,0.0122,20.0,16.0,137.0,709.08,122.0,1.77804
ebola,baseline,96,0.0384,37.0,37.0,256.0,2194.88,384.0,1.73088
ebola,baseline,97,0.0505,39.0,55.0,244.0,2882.6800000000003,505.0,1.7091
ebola,baseline,98,0.0084,18.0,24.0,77.0,477.2799999999999,84.0,1.78488
ebola,baseline,99,0.0263,36.0,17.0,141.0,1493.4,263.0,1.7526600000000003
ebola,baseline,100,0.0295,21.0,14.0,234.0,1714.56,295.0,1.7469
ebola,baseline,101,0.0692,30.0,121.0,364.0,4006.72,692.0,1.66734
ebola,baseline,102,0.0393,39.0,27.0,271.0,2219.2,393.0,1.7292600000000002
ebola,baseline,103,0.0282,30.0,66.0,191.0,1624.8799999999999,282.0,1.7492400000000001
ebola,baseline,104,0.0628,50.0,113.0,364.0,3616.08,628.0,1.6866
ebola,baseline,105,0.0095,13.0,11.0,104.0,572.28,95.0,1.7829
ebola,baseline,106,0.0117,18.0,94.0,167.0,703.0,117.0,1.7789400000000002
ebola,baseline,107,0.0441,42.0,76.0,147.0,2496.6000000000004,441.0,1.72062
ebola,baseline,108,0.015,22.0,45.0,106.0,831.44,150.0,1.773
ebola,baseline,109,0.0234,38.0,32.0,182.0,1414.36,234.0,1.7578799999999999
ebola,baseline,110,0.0099,19.0,19.0,117.0,575.32,99.0,1.7821799999999999
ebola,baseline,111,0.0131,16.0,27.0,215.0,671.08,131.0,1.77642
ebola,baseline,112,0.0114,22.0,15.0,143.0,663.48,114.0,1.77948
ebola,baseline,113,0.0051,11.0,28.0,78.0,276.64,51.0,1.79082
ebola,baseline,114,0.0055,12.0,19.0,62.0,270.56,55.0,1.7901
ebola,baseline,115,0.0167,25.0,56.0,123.0,970.52,167.0,1.76994
ebola,baseline,116,0.0139,17.0,18.0,137.0,820.04,139.0,1.77498
ebola,baseline,117,0.0913,39.0,292.0,364.0,5198.4,913.0,1.6317
ebola,baseline,118,0.0137,23.0,25.0,90.0,760.76,137.0,1.7753400000000001
ebola,baseline,119,0.0846,56.0,175.0,303.0,4768.24,846.0,1.64772
ebola,baseline,120,0.0223,39.0,41.0,108.0,1201.5599999999997,223.0,1.7598600000000002
ebola,baseline,121,0.0159,14.0,10.0,205.0,889.9599999999999,159.0,1.77138
ebola,baseline,122,0.0123,22.0,22.0,90.0,715.92,123.0,1.7778600000000002
ebola,baseline,123,0.014,21.0,11.0,132.0,722.0,140.0,1.7748
ebola,baseline,124,0.1022,67.0,98.0,318.0,5788.16,1022.0,1.61604
ebola,baseline,125,0.0327,35.0,48.0,172.0,1846.04,327.0,1.7411400000000001
ebola,baseline,126,0.0161,26.0,54.0,103.0,864.12,161.0,1.77102
ebola,baseline,127,0.036,24.0,26.0,294.0,2033.76,360.0,1.7352
ebola,baseline,128,0.0873,58.0,113.0,317.0,5085.92,873.0,1.6428600000000002
ebola,baseline,129,0.0427,35.0,150.0,249.0,2541.44,427.0,1.7231400000000001
ebola,baseline,130,0.0255,17.0,176.0,311.0,1403.72,255.0,1.7541
ebola,baseline,131,0.0368,27.0,180.0,226.0,2099.88,368.0,1.7337600000000002
ebola,baseline,132,0.0176,23.0,24.0,209.0,1038.9199999999998,176.0,1.7683200000000001
ebola,baseline,133,0.1295,55.0,283.0,364.0,7510.320000000001,1295.0,1.5597
ebola,baseline,134,0.0534,29.0,232.0,364.0,3030.1200000000003,534.0,1.70334
ebola,baseline,135,0.0227,25.0,35.0,158.0,1349.76,227.0,1.7591400000000001
ebola,baseline,136,0.0194,19.0,117.0,281.0,1066.2800000000002,194.0,1.76508
ebola,baseline,137,0.0125,21.0,14.0,131.0,721.9999999999999,125.0,1.7775
ebola,baseline,138,0.0118,24.0,22.0,113.0,725.8,118.0,1.7787600000000001
ebola,baseline,139,0.0193,19.0,63.0,197.0,1131.64,193.0,1.7652600000000003
ebola,baseline,140,0.0143,22.0,61.0,111.0,802.5600000000001,143.0,1.7742600000000002
ebola,baseline,141,0.0358,30.0,95.0,225.0,2052.0,358.0,1.7355600000000002
ebola,baseline,142,0.0516,36.0,31.0,364.0,2859.88,516.0,1.7064
ebola,baseline,143,0.0348,38.0,72.0,178.0,2039.0800000000004,348.0,1.7373600000000002
ebola,baseline,144,0.0428,39.0,80.0,174.0,2472.2799999999997,428.0,1.7229600000000003
ebola,baseline,145,0.0521,34.0,150.0,343.0,2967.8,521.0,1.70622
ebola,baseline,146,0.0538,45.0,54.0,270.0,3174.5199999999995,538.0,1.7031600000000002
ebola,baseline,147,0.0142,27.0,29.0,91.0,815.48,142.0,1.7744400000000002
ebola,baseline,148,0.01,29.0,23.0,111.0,563.9200000000002,100.0,1.782
ebola,baseline,149,0.0092,22.0,27.0,69.0,490.9599999999999,92.0,1.7834400000000001
ebola,baseline,150,0.0386,35.0,64.0,174.0,2215.3999999999996,386.0,1.73052
ebola,baseline,151,0.0101,17.0,23.0,125.0,562.4000000000001,101.0,1.7818200000000002
ebola,baseline,152,0.0301,27.0,44.0,163.0,1710.0,301.0,1.7458200000000001
ebola,baseline,153,0.0155,22.0,42.0,141.0,859.56,155.0,1.7721
ebola,baseline,154,0.0437,29.0,160.0,231.0,2456.3199999999997,437.0,1.72134
ebola,baseline,155,0.0204,19.0,24.0,256.0,1192.44,204.0,1.76328
ebola,baseline,156,0.0096,18.0,33.0,163.0,576.84,96.0,1.78272
ebola,baseline,157,0.0416,49.0,41.0,172.0,2403.12,416.0,1.72512
ebola,baseline,158,0.0842,44.0,215.0,364.0,4667.92,842.0,1.6473600000000002
ebola,baseline,159,0.0047,12.0,3.0,51.0,256.87999999999994,47.0,1.7915400000000001
ebola,baseline,160,0.0178,17.0,21.0,131.0,1013.0799999999999,178.0,1.7679600000000002
ebola,baseline,161,0.0991,52.0,74.0,285.0,5740.28,991.0,1.62162
ebola,baseline,162,0.0102,18.0,10.0,128.0,560.88,102.0,1.7816400000000001
ebola,baseline,163,0.0331,28.0,41.0,274.0,1875.6799999999998,331.0,1.74042
ebola,baseline,164,0.0112,15.0,58.0,110.0,642.96,112.0,1.77984
ebola,baseline,165,0.0922,61.0,171.0,322.0,5243.24,922.0,1.63404
ebola,baseline,166,0.019,16.0,122.0,180.0,1088.32,190.0,1.7658
ebola,baseline,167,0.1043,53.0,153.0,352.0,5986.52,1043.0,1.61226
ebola,baseline,168,0.013,24.0,25.0,95.0,772.9199999999998,130.0,1.7766
ebola,baseline,169,0.0427,38.0,60.0,177.0,2375.76,427.0,1.7231400000000001
ebola,baseline,170,0.079,47.0,58.0,356.0,4519.72,790.0,1.6578
ebola,baseline,171,0.0095,22.0,16.0,92.0,517.5600000000001,95.0,1.7829
ebola,baseline,172,0.0097,20.0,36.0,142.0,593.56,97.0,1.7825400000000002
ebola,baseline,173,0.1706,77.0,342.0,364.0,9892.92,1706.0,1.4733
ebola,baseline,174,0.0502,42.0,65.0,209.0,2826.4399999999996,502.0,1.70964
ebola,baseline,175,0.0561,33.0,119.0,364.0,3190.4800000000005,561.0,1.69848
ebola,baseline,176,0.1092,44.0,104.0,364.0,6279.880000000001,1092.0,1.5985800000000001
ebola,baseline,177,0.0167,23.0,20.0,103.0,950.76,167.0,1.76994
ebola,baseline,178,0.0121,20.0,24.0,133.0,697.68,121.0,1.7782200000000001
ebola,baseline,179,0.0128,25.0,18.0,114.0,793.4399999999999,128.0,1.7769600000000003
ebola,baseline,180,0.0044,12.0,4.0,57.0,233.32,44.0,1.79208
ebola,baseline,181,0.0364,34.0,57.0,212.0,2082.4,364.0,1.73448
ebola,baseline,182,0.0143,18.0,9.0,112.0,797.2400000000001,143.0,1.7742600000000002
ebola,baseline,183,0.0194,24.0,28.0,166.0,1103.52,194.0,1.76508
ebola,baseline,184,0.0342,19.0,220.0,294.0,1981.3200000000002,342.0,1.7384400000000002
ebola,baseline,185,0.0106,24.0,24.0,79.0,603.44,106.0,1.78092
