disease,scenario,replication,cumulative_attack_rate,peak_incidence,peak_timing,epidemic_duration,hospital_days,total_infections,R_eff_final
covid19,baseline,55,0.9998,4189.4116545022825,31.0,120.0,8912.021219821523,9998.0,0.0008
covid19,baseline,56,0.9998,4192.405859437733,32.0,119.0,8881.603572599555,9998.0,0.0008
covid19,baseline,57,0.9997,4172.864375352554,33.0,118.0,8921.735003008711,9997.0,0.0012
covid19,baseline,58,0.9998,4126.965548952113,33.0,122.0,8892.634594895895,9998.0,0.0008
covid19,baseline,59,0.9997,4018.8825681370326,37.0,128.0,8888.289413934617,9997.0,0.0012
covid19,baseline,60,0.9997,4063.8851364827174,35.0,125.0,8925.526318829774,9997.0,0.0012
covid19,baseline,61,0.9998,4158.189134290034,32.0,125.0,8876.35799351045,9998.0,0.0008
covid19,baseline,62,0.9998,4179.490084083884,32.0,121.0,8927.874581310742,9998.0,0.0008
covid19,baseline,63,0.9997,3962.8556091922874,37.0,124.0,8921.165082694053,9997.0,0.0012
covid19,baseline,64,0.9997,4019.5071425920623,34.0,123.0,8917.880587207694,9997.0,0.0012
covid19,baseline,65,0.9998,4232.356866611201,30.0,120.0,8882.849854001317,9998.0,0.0008
covid19,baseline,66,0.9998,4157.625887269893,33.0,120.0,8908.574931327983,9998.0,0.0008
covid19,baseline,67,0.9998,4180.828017962955,32.0,119.0,8894.979349821264,9998.0,0.0008
covid19,baseline,68,0.9997,4153.906657783741,32.0,127.0,8937.227516706042,9997.0,0.0012
covid19,baseline,69,0.9997,4047.336172780229,35.0,128.0,8912.928418887906,9997.0,0.0012
covid19,baseline,70,0.9998,4216.126907556393,32.0,117.0,8903.291569640056,9998.0,0.0008
covid19,baseline,71,0.9997,4071.5257968161322,35.0,119.0,8915.601414553685,9997.0,0.0012
covid19,baseline,72,0.9997,4032.371074904858,36.0,124.0,8960.612728256794,9997.0,0.0012
covid19,baseline,73,0.9998,4213.375318388407,30.0,109.0,8878.590649196107,9998.0,0.0008
covid19,baseline,74,0.9998,4167.174139228335,32.0,116.0,8903.362913047997,9998.0,0.0008
covid19,baseline,75,0.9996,3887.4852098639467,39.0,129.0,8922.529477589986,9996.0,0.0016
covid19,baseline,76,0.9998,4219.840573573801,32.0,117.0,8905.749998203784,9998.0,0.0008
covid19,baseline,77,0.9996,3943.715519473566,36.0,123.0,8897.93756908653,9996.0,0.0016
covid19,baseline,78,0.9997,4015.9846186350496,36.0,123.0,8978.865843657128,9997.0,0.0012
covid19,baseline,79,0.9998,4152.286904600008,32.0,116.0,8894.46282125964,9998.0,0.0008
covid19,baseline,80,0.9997,4093.1837405311117,34.0,124.0,8917.281963391684,9997.0,0.0012
covid19,baseline,81,0.9998,4134.979218042046,35.0,120.0,8888.639162550182,9998.0,0.0008
covid19,baseline,82,0.9996,3841.0746523687167,41.0,129.0,8936.141898352831,9996.0,0.0016
covid19,baseline,83,0.9997,4098.251912488558,35.0,123.0,8941.85667787882,9997.0,0.0012
